model,training_labels,evaluation_labels,image_size,precision,recall,mAP50,mAP50_95
YOLOv8s Baseline,Original,Consensus,512,0.3198,0.3302,0.2862,0.1408
YOLOv8s Improvement,Consensus,Consensus,640,0.3537,0.3241,0.2992,0.1481
